epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,2298.07,0.19861,0.29809,0.81204,0.97262,1,0.995,0.995,0.13612,0.16033,0.75858,6.50328e-05,6.50328e-05,6.50328e-05
120,2316.86,0.19674,0.29699,0.81068,0.97459,1,0.995,0.995,0.13714,0.17077,0.75931,6.30924e-05,6.30924e-05,6.30924e-05
121,2336.89,0.20336,0.29912,0.81647,0.96578,1,0.995,0.99404,0.13596,0.16156,0.75854,6.1152e-05,6.1152e-05,6.1152e-05
122,2355.71,0.19271,0.29693,0.80471,0.96747,1,0.995,0.995,0.14481,0.15467,0.75937,5.92116e-05,5.92116e-05,5.92116e-05
123,2376.12,0.19849,0.28665,0.80867,0.97423,1,0.995,0.99332,0.1449,0.15757,0.75934,5.72712e-05,5.72712e-05,5.72712e-05
124,2394.85,0.19692,0.29348,0.81675,0.97157,1,0.995,0.995,0.13384,0.15721,0.75898,5.53308e-05,5.53308e-05,5.53308e-05
125,2413.99,0.19414,0.28507,0.80094,0.97729,1,0.995,0.995,0.1265,0.16167,0.75908,5.33904e-05,5.33904e-05,5.33904e-05
126,2433.13,0.19057,0.28973,0.80486,0.97415,1,0.995,0.99372,0.13127,0.16085,0.75867,5.145e-05,5.145e-05,5.145e-05
127,2451.76,0.19156,0.28085,0.80627,0.97421,1,0.995,0.995,0.13302,0.16234,0.75861,4.95096e-05,4.95096e-05,4.95096e-05
128,2471.65,0.19206,0.28128,0.80887,0.97553,1,0.995,0.99372,0.1293,0.16206,0.75872,4.75692e-05,4.75692e-05,4.75692e-05
129,2490.14,0.18697,0.28016,0.80762,0.97586,1,0.995,0.995,0.13274,0.15366,0.75931,4.56288e-05,4.56288e-05,4.56288e-05
130,2509.73,0.19177,0.278,0.79913,0.97646,1,0.995,0.995,0.13184,0.14427,0.7585,4.36884e-05,4.36884e-05,4.36884e-05
131,2528.83,0.18101,0.2651,0.80179,0.97652,1,0.995,0.995,0.12653,0.1462,0.75847,4.1748e-05,4.1748e-05,4.1748e-05
