epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1656.53,0.24317,0.39269,0.81926,0.9691,1,0.995,0.99201,0.15149,0.20853,0.79381,0.000138767,0.000138767,0.000138767
80,1678.72,0.25738,0.42493,0.82356,0.95958,1,0.995,0.993,0.15739,0.21824,0.79248,0.00013688,0.00013688,0.00013688
81,1698.67,0.24072,0.40263,0.81735,0.96203,1,0.995,0.9913,0.15914,0.21329,0.79492,0.000134992,0.000134992,0.000134992
82,1720.77,0.23537,0.38575,0.81687,0.96511,1,0.995,0.98978,0.16535,0.21659,0.79508,0.000133104,0.000133104,0.000133104
83,1741.19,0.24937,0.40746,0.81789,0.96022,1,0.995,0.99333,0.15642,0.21346,0.79608,0.000131217,0.000131217,0.000131217
84,1763.24,0.24362,0.40462,0.81865,0.96966,1,0.995,0.99242,0.16144,0.22224,0.79613,0.000129329,0.000129329,0.000129329
85,1783.39,0.24141,0.3867,0.82245,0.96936,1,0.995,0.99144,0.16207,0.21009,0.79715,0.000127442,0.000127442,0.000127442
86,1805.15,0.24236,0.38911,0.82083,0.96855,1,0.995,0.99133,0.15373,0.21373,0.79464,0.000125554,0.000125554,0.000125554
87,1825.25,0.24217,0.39485,0.81869,0.97085,1,0.995,0.99039,0.15189,0.20585,0.79677,0.000123666,0.000123666,0.000123666
88,1847.3,0.24884,0.38987,0.81897,0.96328,1,0.995,0.9917,0.15155,0.20864,0.79657,0.000121779,0.000121779,0.000121779
89,1867.17,0.24008,0.38767,0.81079,0.96631,1,0.995,0.99305,0.16249,0.20647,0.79584,0.000119891,0.000119891,0.000119891
90,1888.89,0.23671,0.38438,0.8157,0.97035,1,0.995,0.995,0.1553,0.20409,0.7944,0.000118004,0.000118004,0.000118004
91,1909.1,0.22971,0.37955,0.81794,0.97058,1,0.995,0.99267,0.15465,0.20009,0.79477,0.000116116,0.000116116,0.000116116
92,1930.28,0.24011,0.38883,0.81946,0.96345,1,0.995,0.99298,0.15317,0.19972,0.79597,0.000114228,0.000114228,0.000114228
93,1950.03,0.23501,0.37032,0.81422,0.96708,1,0.995,0.99147,0.15525,0.21159,0.79525,0.000112341,0.000112341,0.000112341
94,1971.82,0.23722,0.36746,0.82232,0.96311,0.99958,0.995,0.993,0.15003,0.20392,0.79669,0.000110453,0.000110453,0.000110453
95,1991.69,0.23048,0.36479,0.81071,0.97099,1,0.995,0.99254,0.14681,0.21094,0.79758,0.000108566,0.000108566,0.000108566
96,2013.09,0.23067,0.37061,0.82016,0.973,1,0.995,0.99376,0.13895,0.19017,0.79642,0.000106678,0.000106678,0.000106678
97,2033.47,0.22403,0.34975,0.80727,0.96397,1,0.995,0.99245,0.13984,0.2025,0.79641,0.00010479,0.00010479,0.00010479
98,2054.39,0.23049,0.35799,0.81394,0.96916,1,0.995,0.993,0.15286,0.20592,0.7953,0.000102903,0.000102903,0.000102903
99,2074.68,0.22906,0.3615,0.81438,0.96417,1,0.995,0.9902,0.1431,0.2036,0.79396,0.000101015,0.000101015,0.000101015
100,2095.8,0.22856,0.35576,0.81694,0.95632,1,0.995,0.99376,0.14527,0.19483,0.79715,9.91276e-05,9.91276e-05,9.91276e-05
101,2115.92,0.2223,0.34518,0.80947,0.95921,1,0.995,0.99212,0.14993,0.19785,0.79622,9.724e-05,9.724e-05,9.724e-05
102,2136.59,0.23044,0.36634,0.81293,0.9634,1,0.995,0.98977,0.15165,0.19598,0.79753,9.53524e-05,9.53524e-05,9.53524e-05
103,2157.49,0.21856,0.33877,0.79811,0.97139,0.99921,0.995,0.9911,0.14627,0.18845,0.7965,9.34648e-05,9.34648e-05,9.34648e-05
104,2178.66,0.23171,0.35698,0.81854,0.97175,1,0.995,0.9905,0.15371,0.18259,0.79823,9.15772e-05,9.15772e-05,9.15772e-05
105,2199.14,0.22255,0.34916,0.80934,0.96649,1,0.995,0.98898,0.14976,0.19323,0.79712,8.96896e-05,8.96896e-05,8.96896e-05
106,2220.36,0.22081,0.34645,0.81095,0.96832,1,0.995,0.99153,0.14979,0.19252,0.79466,8.7802e-05,8.7802e-05,8.7802e-05
107,2241.24,0.21732,0.33111,0.81693,0.96705,1,0.995,0.99209,0.14386,0.1879,0.79653,8.59144e-05,8.59144e-05,8.59144e-05
108,2262.92,0.22151,0.34334,0.8133,0.96615,1,0.995,0.99123,0.14794,0.17992,0.79333,8.40268e-05,8.40268e-05,8.40268e-05
109,2283.9,0.22015,0.33542,0.80962,0.96943,1,0.995,0.99154,0.13449,0.17409,0.79175,8.21392e-05,8.21392e-05,8.21392e-05
110,2305.79,0.22248,0.33649,0.8109,0.96298,1,0.995,0.99125,0.15183,0.18382,0.7941,8.02516e-05,8.02516e-05,8.02516e-05
111,2326.23,0.20797,0.32425,0.80976,0.96465,1,0.995,0.99116,0.14758,0.18909,0.79477,7.8364e-05,7.8364e-05,7.8364e-05
112,2348.43,0.21865,0.31979,0.81048,0.96587,1,0.995,0.99264,0.13816,0.1788,0.79308,7.64764e-05,7.64764e-05,7.64764e-05
113,2368.84,0.22224,0.33261,0.81825,0.97264,1,0.995,0.9922,0.13563,0.19118,0.79467,7.45888e-05,7.45888e-05,7.45888e-05
114,2390.87,0.22006,0.32523,0.80936,0.9738,1,0.995,0.99409,0.14578,0.18694,0.7957,7.27012e-05,7.27012e-05,7.27012e-05
115,2411.53,0.2156,0.31765,0.80722,0.9681,1,0.995,0.99248,0.14175,0.17537,0.79451,7.08136e-05,7.08136e-05,7.08136e-05
116,2433.4,0.20804,0.30894,0.80412,0.96853,1,0.995,0.99192,0.1502,0.19096,0.79401,6.8926e-05,6.8926e-05,6.8926e-05
117,2453.8,0.21345,0.31534,0.81022,0.96851,1,0.995,0.9926,0.13425,0.18691,0.79126,6.70384e-05,6.70384e-05,6.70384e-05
118,2476.05,0.20608,0.31688,0.82044,0.96892,1,0.995,0.9938,0.13888,0.18379,0.79146,6.51508e-05,6.51508e-05,6.51508e-05
119,2496.66,0.21306,0.30713,0.80934,0.96454,1,0.995,0.99249,0.14024,0.1779,0.79294,6.32632e-05,6.32632e-05,6.32632e-05
120,2518.63,0.21161,0.31822,0.81324,0.96991,1,0.995,0.9938,0.14016,0.17107,0.79372,6.13756e-05,6.13756e-05,6.13756e-05
121,2539.08,0.2096,0.30543,0.81079,0.97091,1,0.995,0.9934,0.13368,0.17626,0.79296,5.9488e-05,5.9488e-05,5.9488e-05
122,2560.89,0.20111,0.30475,0.80491,0.97042,1,0.995,0.99247,0.13869,0.18113,0.79198,5.76004e-05,5.76004e-05,5.76004e-05
123,2581.1,0.20726,0.30934,0.79722,0.97199,1,0.995,0.9934,0.13904,0.17942,0.7922,5.57128e-05,5.57128e-05,5.57128e-05
124,2603.25,0.20236,0.30862,0.80979,0.97084,1,0.995,0.9938,0.13143,0.17466,0.79179,5.38252e-05,5.38252e-05,5.38252e-05
125,2624.79,0.21392,0.31551,0.81701,0.9678,1,0.995,0.995,0.13818,0.16993,0.7923,5.19376e-05,5.19376e-05,5.19376e-05
126,2647.46,0.20887,0.30155,0.8079,0.97094,1,0.995,0.99409,0.13614,0.17098,0.79218,5.005e-05,5.005e-05,5.005e-05
127,2669.02,0.20249,0.2973,0.80893,0.96736,1,0.995,0.99409,0.13869,0.16756,0.79325,4.81624e-05,4.81624e-05,4.81624e-05
128,2691.02,0.20482,0.30092,0.80788,0.9667,1,0.995,0.99277,0.14261,0.17339,0.79298,4.62748e-05,4.62748e-05,4.62748e-05
129,2711.82,0.20359,0.30462,0.80727,0.96778,1,0.995,0.99036,0.14346,0.16649,0.79469,4.43872e-05,4.43872e-05,4.43872e-05
130,2733.72,0.20249,0.29976,0.81084,0.96938,1,0.995,0.99212,0.14141,0.17281,0.79285,4.24996e-05,4.24996e-05,4.24996e-05
131,2755.29,0.2069,0.29376,0.80831,0.96494,1,0.995,0.99349,0.13523,0.17771,0.79177,4.0612e-05,4.0612e-05,4.0612e-05
132,2776.3,0.20295,0.30207,0.80701,0.96272,1,0.995,0.99376,0.13303,0.17448,0.79196,3.87244e-05,3.87244e-05,3.87244e-05
133,2797.74,0.19786,0.29642,0.80183,0.96743,1,0.995,0.99305,0.1332,0.17165,0.79148,3.68368e-05,3.68368e-05,3.68368e-05
134,2819.54,0.20349,0.29047,0.81194,0.9674,1,0.995,0.99376,0.12924,0.17211,0.79343,3.49492e-05,3.49492e-05,3.49492e-05
135,2841.7,0.20963,0.30993,0.81511,0.96487,1,0.995,0.995,0.13779,0.17097,0.79309,3.30616e-05,3.30616e-05,3.30616e-05
136,2862.86,0.2075,0.29263,0.81223,0.96549,1,0.995,0.99376,0.13617,0.16444,0.79278,3.1174e-05,3.1174e-05,3.1174e-05
